discount_price,name,original_price,stock
118650.0,"XIAOMI Redmi 10 2022 - 6.5 (4GB RAM, 128GB ROM) - Carbon Gray",135000.0,Add to cart
74990.0,"Infinix Smart 7 Plus (X6517) 6.6 HD+, 64GB ROM + 3GB RAM(Up To 6GB), 6000mAh Type-C, Android 12, 13MP Dual Camera, 4G - Black",100000.0,Add to cart
62990.0,"Infinix Smart 6, 6.6HD+, 32gb/2gb RAM, 8MP+ 8MP, 5000mAh- Ocean Wave",88000.0,Add to cart
121900.0,Infinix Note 12i (X6819) - 6.82 FHD+ (128GB ROM-4GB RAM)-50 MP (wide) + 2 MP (depth) + QVGA  8MPSelfie - 4G LTE - 5000mAh -Black,149999.0,Add to cart
127660.0,"XIAOMI Redmi 10 2022 - 6.5 (6GB RAM, 128GB ROM) - Carbon Gray",142000.0,Add to cart
60000.0,Tecno POP 7-BF6-6.6-2/64GB ROM-5000mAh- 4G LITE- Blue,76000.0,Add to cart
94500.0,Samsung Galaxy A03  6.5HD+ 64GB + 4GB 48MP 4G LTE  5000mAh - Black,100000.0,Add to cart
99990.0,"Tecno Camon 18i (CG6) 6.6 90Hz HD+, 4GB RAM + 128GB ROM, 48MP",130000.0,Add to cart
205970.0,"XIAOMI Redmi Note 11 Pro, 8GB/128GB Memory - Graphite Gray",220000.0,Add to cart
89124.0,"XIAOMI Poco C40, 4GB/64GB Memory,6000 MAh Battery, Fingerprint (rear-mounted), Accelerometer,- Coral Green",101000.0,Add to cart
200000.0,Samsung Galaxy M33 Dual Sim - 8GB RAM - 128GB - 5G -Green,210000.0,Add to cart
31590.0,"itel A18 5.0 Screen, 32GB ROM + 1GB RAM, 2400mAh, Android 11, 3G",40000.0,Add to cart
158000.0,Samsung Galaxy S10 Single Sim Black 8gb Ram 128gb Rom AMOLED,180000.0,Add to cart
154990.0,"Nokia X20, 6.67 HD+ 8GB RAM + 128GB ROM Android 11 (64MP + 5MP + 2MP + 2MP) + 32PM Dual SIM - Nordic Blue",220000.0,Add to cart
73999.0,Infinix Smart 7 Plus 6.6HD+- 4GB RAM + 64GB ROM- 6000mAh- 4G- Blue,86000.0,Add to cart
109000.0,Tecno Spark 9 Pro - 6.6 FHD 128GB ROM- 4GB RAM - Dual Sim-50mp - 5000mAh - Fingerprint - Quantum Black,133030.0,Add to cart
59562.0,XIAOMI Redmi A1 Mobile Phone 2GB 32GB MTK Helio A22,103586.0,Add to cart
135260.0,"XIAOMI Redmi Note 11, 4GB/128GB Memory 4G LTE- Graphite Gray",165000.0,Add to cart
147600.0,"XIAOMI Redmi Note 11,6GB/128GB Memory 4G LTE AMOLED Display  - Graphite Gray",175000.0,Add to cart
67990.0,"Infinix Smart 6 Plus (X6511G) 6.6, 2GB RAM + 32GB ROM, 5000mAh, 4G",80000.0,Add to cart
58990.0,"Tecno POP 6 (BE7) 6.1 HD+, 2GB RAM + 32GB ROM, 5000mAh, 4G LTE, 5MP + 5MP Camera, Android 11, Fingerprint - Green + Free Case",75000.0,Add to cart
89990.0,"Tecno Spark 9(KG5p) 6.6, 4GB RAM(Up To 7GB) + 64GB ROM, 5000mAh",100000.0,Add to cart
170000.0,"Infinix Note 10 Pro (8GB RAM, 256GB ROM) 4G LTE Blizzard Snow",188000.0,Add to cart
155000.0,Samsung Galaxy S10 Single Sim Black 8gb Ram 128gb Rom AMOLED,200000.0,Add to cart
132000.0,"Samsung Galaxy A13 - 6.6 (4GB RAM, 128GB ROM) Android 12 (50/5/2/2)MP + 8MP Selfie - 5000mAh - Dual Sim - 4G LTE - Black",135500.0,Add to cart
118800.0,"Samsung Galaxy Tab A7 Lite 8.4 (2021, WiFi + Cellular) Android 11 (32GB+3GB RAM) 5100mAh Battery, 4G LTE ,- Grey",420000.0,Add to cart
89980.0,Hotwav Cyber 8 Waterproof Smartphone 6.3 Inch HD + Water Drop Display 4GB Ram 64GB Rom 8280mah Battery 16MP Main Camera NFC Phone,175649.0,Add to cart
209990.0,"Tecno Camon 19 Pro (CI8) 6.8, 256GB + 8GB RAM(Up To 13GB) - Blue",240000.0,Add to cart
130834.0,Lenovo XiaoXin Pad Tablet 11inch 4GB RAM + 64GB ROM WIFI Edition,194626.0,Add to cart
98500.0,"Samsung Galaxy A04s - 6.5 (4GB RAM, 64GB ROM) Android 12 (50/2/2)MP + 5MP Selfie - 5000mAh - Dual Sim - 4G LTE - Black",125500.0,Add to cart
98990.0,Blackview A100 6GB+128GB 12.0MP+8MP 4680mah Battery Android 11- Blue,194098.0,Add to cart
25490.0,New Age L30 33000mAh Power Bank With Lamp@a Promo Price New Age,56000.0,Add to cart
119300.0,"Samsung Galaxy S9 + (plus) (6GB RAM,64GB ROM)8.0 Oreo. Blue",148000.0,Add to cart
109000.0,Tecno Spark 9 Pro - 6.6 FHD 128GB ROM- 4GB RAM - Dual Sim-50mp - 5000mAh - Fingerprin -White,133030.0,Add to cart
66950.0,"Infinix Smart 6 4G (X6511B) 6.6, 2GB RAM + 32GB ROM, 5000mAh, 4G",70000.0,Add to cart
45250.0,"itel P17 Pro 3G, 5.5 Screen, 2GB RAM + 32GB ROM, 4000mAh, 5MP",50000.0,Add to cart
68990.0,"Blackview A80Plus Android Smartphone HD Camera,4/64G,Dual SIM-Black",143745.0,Add to cart
58400.0,Infinix Smart 6- (X657) - 32GB ROM - 2GB RAM - 6.6'' HD+ Waterdrop - 5000mAh -Camera: Dual 8MP Main/ 5 MP Front - Black,69999.0,Add to cart
148572.0,"Samsung Galaxy A23, 4GB/64GB Memory, Android 12 - Blue",155000.0,Add to cart
185000.0,"Samsung Galaxy S10 Plus 6.4-Inch AMOLED 8GB,128GB ROM BLACK",203000.0,Add to cart
226500.0,"Samsung Galaxy A33 - 6.4 (6GB RAM, 128GB ROM) Android 12  - 5G - Dual Sim - 5000mAh - Awesome Black",600000.0,Add to cart
182590.0,"XIAOMI Redmi Note 11s - 6.43 (8GB RAM, 128GB ROM) Android 11 (108/8/2/2)MP + 16MP Selfie - 4G - Dual - 5000mAh - Graphite Gray",185000.0,Add to cart
119000.0,"Poco M4 Pro 5G, 6.6'' 4GB RAM 64GB ROM Android 11 - Power Black",120000.0,Add to cart
44500.0,"itel P17 Pro 5.5 Screen, 2GB RAM + 32GB ROM, 4G, Android11 -Blue",49000.0,Add to cart
269000.0,Samsung Galaxy S20 5G  (12GB RAM/128GB ROM) (12MP + 64MP + 12MP + 0.3MP)+(10MP) Single SIM - Gray,287000.0,Add to cart
85000.0,XIAOMI Redmi 10A 6.53 Inches 3GB RAM 64GB ROM 5000mAH - Blue,109000.0,Add to cart
84750.0,"itel S18 Pro 6.6 FHD+, 64GB ROM + 7GB RAM (4+3GB*), 32MP AI Selfie Camera, 5000mAh, 4G LTE - Black",100000.0,Add to cart
155000.0,Samsung Galaxy Note 9 6gb Ram 128gb Rom 4000MAh Single Sim,173000.0,Add to cart
